source,load_ratio,cycle,settlement_mm
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,0.0,0.0
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,1.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,2.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,3.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,4.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,5.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,6.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,7.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,8.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,9.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,10.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,11.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,12.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,13.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,14.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,15.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,16.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,17.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,18.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,19.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,20.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,21.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,22.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,23.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,24.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,25.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,26.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,27.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,28.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,29.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.33,30.0,0.2398
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,0.0,0.0
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,1.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,2.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,3.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,4.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,5.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,6.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,7.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,8.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,9.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,10.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,11.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,12.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,13.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,14.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,15.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,16.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,17.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,18.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,19.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,20.0,0.3756
"Qiu et al. (2025), Fig. 21 authors' workbook",0.5,21.0,0.3756
